Execução,Tempo de Execução (s),Uso de Memória (MB),x2,y2,x3,y3,x4,y4,x5,y5,x6,y6
1,0.010602474212646484,0.234375,199.83841290361374,69.43886153644425,200.57342743631298,199.44012659675056,100.57162512279127,199.99974217544184,300.2835636124379,148.8904979913866,50.29731807909074,150.29163707364205
2,0.01000356674194336,0.23828125,199.83841290361374,69.43886153644425,200.57342743631298,199.44012659675056,100.57162512279127,199.99974217544184,300.2835636124379,148.8904979913866,50.29731807909074,150.29163707364205
3,0.010141134262084961,0.2421875,199.83841290361374,69.43886153644425,200.57342743631298,199.44012659675056,100.57162512279127,199.99974217544184,300.2835636124379,148.8904979913866,50.29731807909074,150.29163707364205
4,0.01015615463256836,0.24609375,199.83841290361374,69.43886153644425,200.57342743631298,199.44012659675056,100.57162512279127,199.99974217544184,300.2835636124379,148.8904979913866,50.29731807909074,150.29163707364205
5,0.010487556457519531,0.24609375,199.83841290361374,69.43886153644425,200.57342743631298,199.44012659675056,100.57162512279127,199.99974217544184,300.2835636124379,148.8904979913866,50.29731807909074,150.29163707364205
6,0.010565519332885742,0.24609375,199.83841290361374,69.43886153644425,200.57342743631298,199.44012659675056,100.57162512279127,199.99974217544184,300.2835636124379,148.8904979913866,50.29731807909074,150.29163707364205
7,0.010200262069702148,0.25,199.83841290361374,69.43886153644425,200.57342743631298,199.44012659675056,100.57162512279127,199.99974217544184,300.2835636124379,148.8904979913866,50.29731807909074,150.29163707364205
8,0.009820938110351562,0.25,199.83841290361374,69.43886153644425,200.57342743631298,199.44012659675056,100.57162512279127,199.99974217544184,300.2835636124379,148.8904979913866,50.29731807909074,150.29163707364205
9,0.009919404983520508,0.25,199.83841290361374,69.43886153644425,200.57342743631298,199.44012659675056,100.57162512279127,199.99974217544184,300.2835636124379,148.8904979913866,50.29731807909074,150.29163707364205
10,0.009822368621826172,0.25,199.83841290361374,69.43886153644425,200.57342743631298,199.44012659675056,100.57162512279127,199.99974217544184,300.2835636124379,148.8904979913866,50.29731807909074,150.29163707364205
