Execução,Tempo de Execução (s),Uso de Memória (MB),x2,y2,x3,y3,x4,y4,x5,y5,x6,y6
1,0.040513038635253906,2.22265625,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
2,0.02693629264831543,2.2265625,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
3,0.020667552947998047,2.2265625,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
4,0.01914238929748535,2.2265625,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
5,0.017380714416503906,2.2265625,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
6,0.018127918243408203,2.2265625,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
7,0.028177261352539062,2.23046875,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
8,0.01910543441772461,2.23046875,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
9,0.02013564109802246,2.23046875,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
10,0.022267818450927734,2.23046875,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
11,0.018672704696655273,2.23046875,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
12,0.02047109603881836,2.23046875,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
13,0.026165246963500977,2.234375,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
14,0.030777692794799805,2.234375,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
15,0.019866228103637695,2.234375,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
16,0.020019054412841797,2.234375,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
17,0.020016193389892578,2.234375,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
18,0.0194551944732666,2.234375,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
19,0.02009296417236328,2.234375,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
20,0.020556211471557617,2.234375,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
21,0.019104957580566406,2.23828125,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
22,0.01822376251220703,2.23828125,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
23,0.027950525283813477,2.23828125,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
24,0.022422075271606445,2.23828125,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
25,0.02332282066345215,2.23828125,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
26,0.01718759536743164,2.23828125,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
27,0.020424604415893555,2.23828125,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
28,0.022202730178833008,2.2421875,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
29,0.01749873161315918,2.2421875,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
30,0.018822431564331055,2.2421875,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
31,0.020489931106567383,2.24609375,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
32,0.02206730842590332,2.24609375,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
33,0.021297216415405273,2.24609375,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
34,0.021598339080810547,2.24609375,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
35,0.02637648582458496,2.24609375,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
36,0.019837379455566406,2.24609375,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
37,0.021086931228637695,2.24609375,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
38,0.015356779098510742,2.24609375,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
39,0.015814781188964844,2.24609375,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
40,0.016434669494628906,2.24609375,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
41,0.016358613967895508,2.24609375,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
42,0.017287254333496094,2.24609375,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
43,0.018785715103149414,2.24609375,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
44,0.02049422264099121,2.24609375,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
45,0.01655411720275879,2.24609375,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
46,0.015455245971679688,2.24609375,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
47,0.013870477676391602,2.24609375,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
48,0.018182992935180664,2.24609375,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
49,0.017073869705200195,2.24609375,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
50,0.015166759490966797,2.24609375,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
51,0.01387929916381836,2.24609375,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
52,0.021646976470947266,2.24609375,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
53,0.016357421875,2.24609375,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
54,0.013284683227539062,2.24609375,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
55,0.01354074478149414,2.25,201.48160159458016,75.44030199165931,194.47138601188428,205.2545069715288,94.61381352308872,199.8562170420859,297.0156086685252,160.73416856115313,47.389791257828854,147.24163027589117
