Execução,Tempo de Execução (s),Uso de Memória (MB),x2,y2,x3,y3,x4,y4,x5,y5,x6,y6
1,0.10322833061218262,0.77734375,199.83819905357646,69.43814402301152,200.57412611673445,199.4394124056067,100.57231330698917,199.99973362898376,300.2839092961054,148.88906904242515,50.29765202661944,150.29197003130355
2,0.11116266250610352,0.83203125,199.83819905357646,69.43814402301152,200.57412611673445,199.4394124056067,100.57231330698917,199.99973362898376,300.2839092961054,148.88906904242515,50.29765202661944,150.29197003130355
3,0.10556340217590332,0.94140625,199.83819905357646,69.43814402301152,200.57412611673445,199.4394124056067,100.57231330698917,199.99973362898376,300.2839092961054,148.88906904242515,50.29765202661944,150.29197003130355
4,0.12764406204223633,0.9453125,199.83819905357646,69.43814402301152,200.57412611673445,199.4394124056067,100.57231330698917,199.99973362898376,300.2839092961054,148.88906904242515,50.29765202661944,150.29197003130355
5,0.16203927993774414,0.9453125,199.83819905357646,69.43814402301152,200.57412611673445,199.4394124056067,100.57231330698917,199.99973362898376,300.2839092961054,148.88906904242515,50.29765202661944,150.29197003130355
6,0.13534283638000488,0.9453125,199.83819905357646,69.43814402301152,200.57412611673445,199.4394124056067,100.57231330698917,199.99973362898376,300.2839092961054,148.88906904242515,50.29765202661944,150.29197003130355
7,0.10402131080627441,0.9453125,199.83819905357646,69.43814402301152,200.57412611673445,199.4394124056067,100.57231330698917,199.99973362898376,300.2839092961054,148.88906904242515,50.29765202661944,150.29197003130355
8,0.10056400299072266,0.9453125,199.83819905357646,69.43814402301152,200.57412611673445,199.4394124056067,100.57231330698917,199.99973362898376,300.2839092961054,148.88906904242515,50.29765202661944,150.29197003130355
9,0.10430598258972168,0.9453125,199.83819905357646,69.43814402301152,200.57412611673445,199.4394124056067,100.57231330698917,199.99973362898376,300.2839092961054,148.88906904242515,50.29765202661944,150.29197003130355
10,0.1020960807800293,0.9453125,199.83819905357646,69.43814402301152,200.57412611673445,199.4394124056067,100.57231330698917,199.99973362898376,300.2839092961054,148.88906904242515,50.29765202661944,150.29197003130355
11,0.10162067413330078,0.9453125,199.83819905357646,69.43814402301152,200.57412611673445,199.4394124056067,100.57231330698917,199.99973362898376,300.2839092961054,148.88906904242515,50.29765202661944,150.29197003130355
12,0.10396218299865723,0.9453125,199.83819905357646,69.43814402301152,200.57412611673445,199.4394124056067,100.57231330698917,199.99973362898376,300.2839092961054,148.88906904242515,50.29765202661944,150.29197003130355
